StoreID,StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,ManagerName
26613,The Popular Vendor,Exclusive,9/21/2020,"93701 Matthew Shore Apt. 634 Michelletown, DC 47871",East Alexandra,Maryland,Timor-Leste,North,Tommy Young
55909,The Accessible Hall,MBO,5/4/2021,"765 Williams Meadows Suite 106 South Allisonland, FL 71369",North Haleyshire,Missouri,Venezuela,West,Melissa Santos
91458,The Practical Franchisee,Outlet Stores,9/14/2021,"28476 Williams Mountain Apt. 516 Mitchelltown, AZ 61249",Annaview,Mississippi,British Indian Ocean Territory (Chagos Archipelago),East,Samantha Abbott
20646,The Convenient Depot,SMB,10/24/2024,"493 Anderson Inlet Suite 677 South Melissabury, VA 63122",New Charleston,Ohio,American Samoa,South,Steven Silva
42171,The Practical Showroom,MBO,5/19/2022,"3643 Olson Dam Suite 645 West Candaceside, NC 25808",Chelseymouth,Arkansas,Tunisia,West,Kimberly Salinas
6181,The Global Franchise,SMB,10/22/2022,"6985 Bridges Tunnel Suite 721 Michaelfurt, TX 84535",Jennifertown,New Jersey,Greenland,South,Andrew Hahn
76209,The Modern Showroom,MBO,11/16/2020,"409 Simmons Neck Dyerhaven, VA 48444",North Lisa,New Mexico,Austria,East,John Romero
63029,The Premium Stand,Exclusive,7/10/2024,"84028 Wu Spring Millershire, FM 32829",Lake Jeremy,Utah,Tunisia,North,Tracy Martin
84784,The Global Vendor,Exclusive,2/4/2023,"PSC 5425, Box 6637 APO AP 27220",Lake Jenna,Minnesota,Montenegro,East,Tiffany Horn
42636,The Affordable Showroom,Exclusive,9/17/2022,"9105 Cohen Mission Apt. 347 Kathrynfurt, WY 91620",Millerstad,Connecticut,Kenya,North,Crystal Gonzales
14553,The Popular Shop,Outlet Stores,3/31/2024,"3984 Miller Ways Suite 925 Brycetown, MO 58088",Katelynchester,Tennessee,Faroe Islands,South,Dawn Duncan
22392,The Customized Brand,Outlet Stores,4/6/2023,"486 Kristy Centers Apt. 289 South Elizabeth, OR 79904",North Kathy,California,Christmas Island,South,Meagan Beck
77702,The Luxury Franchise,MBO,8/23/2020,"4691 Garcia Via Apt. 062 Elainebury, MA 47838",Martinport,Alaska,Central African Republic,East,Susan Torres
67965,The Cozy Franchise,SMB,9/11/2022,"56026 Diana Stravenue Rachelchester, PA 83494",Josephchester,North Carolina,Tanzania,West,Antonio Castro
57343,The Custom Goods,MBO,3/28/2020,"352 Meza Lodge New Daniel, MN 82213",Lake Lisaland,South Carolina,Martinique,West,Wendy Carter
33884,The Vintage Seller,Outlet Stores,4/3/2023,Unit 2190 Box 7783 DPO AE 61171,Evansland,Nevada,Ghana,North,Michael Thompson MD
60268,The Luxury Vendor,SMB,4/6/2022,"9121 William Garden Port Timothychester, ND 27852",New Andrea,South Dakota,Belgium,South,Amanda Neal
63544,The Stylish Brand,Outlet Stores,9/25/2021,"0199 Thomas Flat Heatherburgh, KS 26047",Gardnerland,Montana,Togo,South,Michelle Taylor
68045,The Unique Emporium,MBO,3/29/2021,"823 David Center North Jacqueline, PW 99842",West Rhondaville,Virginia,Georgia,North,Adam Campbell
9367,The Local Showroom,Exclusive,12/11/2023,"617 Ellis Springs Suite 751 Port Jacob, WY 28609",Thomasmouth,Nebraska,Turkmenistan,West,Amy Martin
10468,The Comfortable Retailer,Outlet Stores,10/15/2021,"73532 Sharon Locks Apt. 918 Davidmouth, FM 65195",East Ryanview,Alabama,Wallis and Futuna,East,Hannah Carter
99363,The Upscale Vendor,Outlet Stores,3/11/2023,"629 Branch Stream Apt. 018 Olsenmouth, NJ 91828",West Scotthaven,Massachusetts,Singapore,North,Douglas Baker
62387,The Comfortable Hall,Outlet Stores,3/29/2021,"5530 Adam Creek Apt. 854 Johnsonchester, HI 08431",New Jermainechester,Hawaii,United States Minor Outlying Islands,East,Aaron Barnes
80046,The Chic Inventory,Outlet Stores,4/20/2021,"PSC 6128, Box 0587 APO AE 74234",New Pattyhaven,Kentucky,Rwanda,West,Michael Lopez
80543,The Spacious District,SMB,9/22/2024,"871 Perez Curve East Patricia, IA 67115",Susanshire,Louisiana,Macao,West,Mrs. Cynthia Welch DVM
68994,The Chic Mall,Outlet Stores,3/13/2021,"8139 Blair Turnpike New Andrewstad, PR 39245",West Josephburgh,Georgia,Kiribati,East,Theresa Richardson
53049,The Premium Service,Outlet Stores,12/6/2021,"22712 Gary Underpass South Heatherburgh, SC 04756",Cesarville,Arizona,Gambia,South,Virginia Forbes
96398,The Unique Shop,MBO,11/8/2024,"17434 Martin Drive East Gloria, ND 80204",North Eric,New Hampshire,Somalia,South,Teresa Henson
1853,The Affordable Kiosk,Outlet Stores,6/18/2022,"90822 Robert Throughway Apt. 411 East Danielle, KY 62563",New Randall,Utah,Nepal,East,Alison Castillo
1216,The Premium Shop,Exclusive,8/29/2023,"PSC 4685, Box 7784 APO AE 83970",Port Victoria,Pennsylvania,Wallis and Futuna,West,Eric Morales
22990,The Convenient Outlet,MBO,10/2/2024,"8074 John Valley Apt. 550 Torrestown, MH 64356",Gregoryborough,New Jersey,Lao People's Democratic Republic,North,Karen Jones
12419,The Elegant Outlet,SMB,7/8/2020,"28835 Rangel Creek Dominictown, SC 63177",New Ronaldmouth,Hawaii,Belgium,South,Cindy Morales
61991,The Trendy Mall,Exclusive,3/26/2022,"859 Farley Plains North Mike, AL 47674",West Jamesview,Delaware,Bhutan,South,Michael Gross
48251,The Global Mall,Exclusive,3/2/2024,"336 Jackson Harbors Suite 255 Sarahchester, AS 39913",Lake Jon,Oregon,Nepal,South,Jamie Jenkins
25590,The Chic Boutique,Exclusive,8/26/2022,Unit 6471 Box 1564 DPO AA 18266,Cantrellland,Nebraska,Saint Lucia,North,Mr. Mark Peterson
45610,The Elegant Mall,Exclusive,1/13/2021,"161 Michael Mews Cathyton, DC 39157",New Antonioshire,Virginia,Angola,East,Raymond Williams
48512,The Bright Display,Outlet Stores,7/9/2021,"8767 Ashley Shores East Shelbystad, MO 22483",Katherinefort,Oregon,Qatar,East,William Martinez
26195,The Sustainable Market,MBO,1/11/2023,"772 Torres Road Tracymouth, MO 90890",New Danielchester,North Dakota,Slovakia (Slovak Republic),North,Jerry Atkinson
21594,The Custom Shop,MBO,1/3/2023,"206 Long Rapid Suite 898 New Michael, FL 20742",Martinborough,Indiana,Norfolk Island,North,Tracy Duran
11406,The Upscale Warehouse,Outlet Stores,8/10/2022,"2637 Henry Brooks North Debbie, KS 13282",Allenville,Utah,Zambia,West,David Johnson
57483,The Popular Storefront,Exclusive,1/3/2020,USCGC Pacheco FPO AP 71086,New Ryantown,New Jersey,Spain,North,Michael Bates
57182,The Unique Brand,Outlet Stores,7/2/2024,"784 Reynolds Rue Suite 406 South Shannonport, CO 96610",Henrystad,South Dakota,Algeria,East,Joseph Ortiz
58350,The Accessible Outlet,MBO,12/17/2023,"677 Leonard Junction Carlsonmouth, MS 62760",North Julieborough,Alaska,Tokelau,West,Taylor Meyer
72297,The Accessible Stand,SMB,2/15/2022,"52768 Richards Rue Apt. 142 South Larryview, HI 41532",East Matthewshire,Pennsylvania,Antarctica (the territory South of 60 deg S),South,Thomas Smith
98467,The Modern Franchisee,Exclusive,8/11/2021,"91554 Christian Cliffs North Christopherfort, VA 20520",Port Brettborough,Arizona,Puerto Rico,South,Allen Brown
64567,The Local Service,Exclusive,2/12/2023,"192 Brittany Key Apt. 891 Brendanport, MD 13448",Huertaborough,Kentucky,Mauritius,West,Juan Pope
11113,The Innovative Service,Exclusive,6/23/2024,"54923 Frank Squares Port Amberbury, FL 75953",Terristad,Oregon,Barbados,South,Matthew Campos DDS
74945,The Spacious Franchise,SMB,1/30/2025,"401 Jennifer Point Apt. 587 South Kimberly, MN 56310",Jenningsport,Wyoming,Macao,West,Michele Maldonado
68104,The Modern Plaza,SMB,8/3/2022,"18684 Alexandra Way Sandersberg, MH 75707",Port Rickyside,Utah,North Macedonia,North,Deborah Coffey
10572,The Cozy Kiosk,Outlet Stores,2/15/2024,"98737 Ashley Mill East Andreamouth, TN 01494",Port Jill,Maine,Uzbekistan,East,Victoria Freeman
86004,The Luxury Display,MBO,3/17/2024,"8061 John Lake Suite 548 East Jennifer, VA 62160",Palmerbury,New York,Iraq,West,Hunter Joyce
55667,The Customized Kiosk,MBO,8/2/2021,"83073 Hansen Terrace Stephenmouth, AK 45862",East Nicholasmouth,Wisconsin,San Marino,West,Charles Patterson
96124,The Luxury Showroom,SMB,6/4/2023,"6998 James Village Suite 929 North Shirley, FL 38922",Lake Joshuafort,Utah,Tajikistan,North,Kaylee Brooks
90412,The Custom Showroom,Exclusive,3/23/2020,"769 Eric Street Apt. 158 Lake Susanshire, WY 81308",Lopezville,North Carolina,Djibouti,North,Justin Jenkins
40735,The Accessible Boutique,MBO,10/12/2024,"39893 Dean Dale Suite 664 Josephfort, FM 11591",North Elizabethfurt,North Dakota,Afghanistan,East,Jessica Hughes
56557,The Popular Service,SMB,10/12/2024,"64908 Wood Parkways Randallshire, PA 40563",West Nicholas,Massachusetts,Serbia,South,David Kemp
